version,zwin,coef,cost_bp,clip_type,clip_low_base,clip_high_base,period,period_start,period_end,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A_v7_14_v9_dynamic_clip,8,1.5,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9369655549171558,1.1791815029733297,0.7297799995950948,-0.18280811358526328,470,0.13340970505823346,0.1423848554070157,0.11313754898786847,0.48950729927007297,1.0643620503939848
A_v7_14_v9_dynamic_clip,8,1.5,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.087438407359066,1.4692536008539971,0.8614065523393547,-0.1788883451054405,176,0.15409559261097017,0.14170512239419983,0.1048801871381515,0.48476936466492604,1.1174887426147573
A_v7_14_v9_dynamic_clip,8,1.5,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.87321949620232,1.0975650672136097,0.677705980615218,-0.1834592249876389,496,0.12433141397315572,0.14238277376293124,0.11327931043650659,0.48950729927007297,1.0528608788355593
A_v7_14_v9_dynamic_clip,8,1.5,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0176163813267998,1.374188863547864,0.7859023220907214,-0.1834592249876389,176,0.1441810309267495,0.14168505300471068,0.10492082620616257,0.48476936466492604,1.1046973673918292
A_v7_14_v9_dynamic_clip,8,1.5,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8098036493796168,1.017308848119081,0.6133878511606237,-0.18800735840527238,500,0.11532142957459524,0.14240665581458165,0.11335931048650065,0.48722627737226276,1.0518208466145966
A_v7_14_v9_dynamic_clip,8,1.5,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9481482327795755,1.2800224354134855,0.7145820657530422,-0.18800735840527238,257,0.13434668654601212,0.1416937583189536,0.10495650922135136,0.4830287206266319,1.100272490483693
A_v7_14_v9_dynamic_clip,8,1.5,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.7467492062619948,0.9375030581952685,0.5525253069772936,-0.19253284577889784,551,0.10637926971719747,0.14245648850395243,0.11347085088125673,0.4854014598540146,1.0486557962563554
A_v7_14_v9_dynamic_clip,8,1.5,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.8790719337395158,1.1865595616051283,0.6471204878894232,-0.19253284577889784,373,0.12459194909517946,0.14173123303479077,0.1050026927654914,0.4804177545691906,1.099957588971774
A_v7_14_v9_dynamic_clip,13,0.8,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9575660111900203,1.229718258913569,0.7295249072642915,-0.19325383514588768,353,0.1409834861632724,0.1472310885262776,0.11464698124253961,0.4885948905109489,1.0678716222150675
A_v7_14_v9_dynamic_clip,13,0.8,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0615788885303734,1.4678009155973,0.8038876852154118,-0.19325383514588768,257,0.15535437819442843,0.14634275405523336,0.10584158692339367,0.48389904264577893,1.1108961797843266
A_v7_14_v9_dynamic_clip,13,0.8,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8972579891659913,1.1507981177570668,0.6681723078715361,-0.19769799938907073,354,0.13209632851338093,0.14722223720310984,0.11478670887196084,0.4885948905109489,1.0572668957420117
