Strategy,Period,Start,End,AnnRet,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,Vol,DownsideVol,WinRate,PayoffRatio,N_Days
v5 量价,2020 疫情牛,2020-03-23,2021-02-10,0.7956800850788799,3.8989327045858047,5.372357401400081,8.518630165539921,-0.0934046988326378,41,0.20407638329921043,0.14810632011777902,0.5707762557077626,1.2791000046158705,220
v5 量价,2021 白马崩盘,2021-09-13,2022-04-29,0.051286127733783715,0.23823925505195387,0.35720148886208575,0.35619298891081325,-0.14398410224358793,106,0.21527152493236065,0.14357758669249307,0.5100671140939598,1.016180945090309,150
v5 量价,2022 慢熊,2022-01-01,2022-12-31,-0.05603158433310518,-0.26546168001010734,-0.44125033089785015,-0.31870499417684317,-0.1758101860870569,100,0.21107221325116227,0.12698366530194521,0.46473029045643155,1.12042966168761,242
v5 量价,2023 慢熊延续,2023-01-01,2023-12-31,-0.0054110181453524975,-0.04192091145922336,-0.06596897075584067,-0.04430752662873085,-0.12212413007598955,111,0.12907682483516172,0.08202368603535358,0.5228215767634855,0.9159382015475873,242
v5.1 量价 (逆波动),Full Sample,2018-01-03,2026-05-29,0.1640453102831454,1.0160413009326856,1.3511990951411235,0.903998156384293,-0.18146642128040924,556,0.16145535632513985,0.1214072085106096,0.4722358722358722,1.0224712052812437,2036
v5.1 量价 (逆波动),OOS 22-26,2022-01-01,2026-05-29,0.12906107540468637,0.747913949075897,1.0961281645352523,0.7153407700667463,-0.18041901259541526,370,0.1725613963533517,0.11774268701453083,0.528692380056444,1.0212859666078233,1064
v5.1 量价 (逆波动),2018 贸易战大跌,2018-01-22,2018-12-28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,229
v5.1 量价 (逆波动),2019 春燥行情,2019-01-02,2019-04-26,0.17627868479889242,2.443793731199892,4.05861722059797,9.545720832939114,-0.01846677562480281,14,0.0721332093410111,0.04343318800902359,0.40789473684210525,1.2778578926178954,77
v5.1 量价 (逆波动),2020 疫情牛,2020-03-23,2021-02-10,0.7688275488986072,3.9924891917142284,5.414892075393145,9.437654014306762,-0.08146384130347684,36,0.1925684734461362,0.14198390996422341,0.5799086757990868,1.2559515275373871,220
v5.1 量价 (逆波动),2021 白马崩盘,2021-09-13,2022-04-29,0.06495265517508741,0.30999099198749797,0.4718913749367089,0.46281993384659326,-0.14034109256110106,106,0.20953078268063666,0.13764323449183408,0.5302013422818792,0.9465267256488223,150
v5.1 量价 (逆波动),2022 慢熊,2022-01-01,2022-12-31,-0.0640738706289774,-0.31401371567092473,-0.5209435863542549,-0.3817257045813469,-0.16785317273629674,137,0.2040479999164258,0.12299579514432402,0.4730290456431535,1.07394343115107,242
v5.1 量价 (逆波动),2023 慢熊延续,2023-01-01,2023-12-31,-0.01609690268527919,-0.13099516447216197,-0.20243862481859548,-0.13157968542297474,-0.12233577420051012,112,0.1228816555950046,0.07951497743922914,0.5228215767634855,0.9024527005933284,242
v7.10 TV-PR (标准化+CV),Full Sample,2018-01-03,2026-05-29,0.1580430585098065,0.853403866466982,1.1940636319093971,0.8284548313316441,-0.19076846743203946,470,0.1851914020076931,0.13235731688526833,0.5184275184275184,1.0794020776935715,2036
v7.10 TV-PR (标准化+CV),OOS 22-26,2022-01-01,2026-05-29,0.21956451877922278,1.0704540956845658,1.5884100009742845,1.4875409488722326,-0.14760233588573402,136,0.2051134370585122,0.1382291213506263,0.5211665098777046,1.1140218306238965,1064
v7.10 TV-PR (标准化+CV),2018 贸易战大跌,2018-01-22,2018-12-28,-0.14071048118452312,-1.5101663850630545,-2.042629647491191,-1.0232389413821232,-0.13751478319859556,226,0.09317548223578555,0.0688869278664134,0.4342105263157895,0.9890587421346514,229
v7.10 TV-PR (标准化+CV),2019 春燥行情,2019-01-02,2019-04-26,0.2717214013901108,4.2278181338046394,8.712633625743806,20.70413544200391,-0.013124015834964586,9,0.06426988881510545,0.031187056986677054,0.5394736842105263,1.6494680731636184,77
v7.10 TV-PR (标准化+CV),2020 疫情牛,2020-03-23,2021-02-10,0.6336843173730198,2.7898914162014,4.072879628007976,5.957061595941001,-0.10637531728810679,100,0.22713583535656667,0.1555863112220067,0.5707762557077626,1.0979941372014492,220
v7.10 TV-PR (标准化+CV),2021 白马崩盘,2021-09-13,2022-04-29,-0.25774235229568176,-1.4131499386661275,-2.232411028989148,-1.3951199175865507,-0.1847456616787151,149,0.18238853871300084,0.11545470298647889,0.4966442953020134,0.7851903033514611,150
v7.10 TV-PR (标准化+CV),2022 慢熊,2022-01-01,2022-12-31,0.03187712378419816,0.15167314452175593,0.26477002443171466,0.2161236594669655,-0.14749483634886618,99,0.21016986154477543,0.12039551626970298,0.4979253112033195,1.0510848318651829,242
v7.10 TV-PR (标准化+CV),2023 慢熊延续,2023-01-01,2023-12-31,0.020887712461623353,0.15265725459029486,0.22779856823406264,0.159942147690127,-0.1305954231782066,102,0.13682751283378106,0.09169378290455832,0.5145228215767634,0.9793510427491317,242
v7.10 TV-PR (5bp),Full Sample,2018-01-03,2026-05-29,0.2168067553372004,1.0929814477408109,1.540026439580931,1.1431256896216082,-0.1896613445971691,264,0.1983627039464753,0.1407811903516393,0.5199017199017198,1.1110188159669292,2036
v7.10 TV-PR (5bp),OOS 22-26,2022-01-01,2026-05-29,0.25427829660628065,1.238385692974306,1.842214728036384,1.7012933717035215,-0.14946175705820175,136,0.20533045403291528,0.13802858740431187,0.522107243650047,1.1370945800208763,1064
v7.10 TV-PR (5bp),2018 贸易战大跌,2018-01-22,2018-12-28,-0.1403341453728293,-1.5060868905141895,-2.0363720269023813,-1.0227247853660972,-0.13721594253002767,226,0.09317798744328631,0.06891380529632299,0.4342105263157895,0.9898081424762771,229
v7.10 TV-PR (5bp),2019 春燥行情,2019-01-02,2019-04-26,0.7282749175037657,3.07715564958767,4.56782247502877,10.382468284893363,-0.07014468019742626,15,0.2366714591123632,0.1594359066021231,0.5263157894736842,1.4138874824256782,77
v7.10 TV-PR (5bp),2020 疫情牛,2020-03-23,2021-02-10,0.6864158599038683,3.025909918851118,4.435221192993753,6.64606676196901,-0.10328151739789415,100,0.22684609863220506,0.1547647411561318,0.5753424657534246,1.1024713514028448,220
v7.10 TV-PR (5bp),2021 白马崩盘,2021-09-13,2022-04-29,-0.2575505792977949,-1.4136790197840667,-2.2395434942414005,-1.3950222427869519,-0.18462112746192827,149,0.18218462302505883,0.11500137414613369,0.48322147651006714,0.8284370737904985,150
