k,eta,tau,marginal,pa_std,worst10,extreme,width_bps,score,runtime_s
4,0.0,30,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5840389728546143
4,0.0,180,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5850801467895508
4,0.0,120,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5916402339935303
4,0.0,90,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5878419876098633
4,0.0,60,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5949816703796387
4,0.0,45,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5802381038665771
2,0.0,30,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.578376054763794
4,0.0,20,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5849084854125977
2,0.0,180,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5631928443908691
2,0.0,120,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5594003200531006
2,0.0,90,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5553441047668457
2,0.0,60,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5923383235931396
2,0.0,45,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5833699703216553
6,0.0,30,0.9499782514136581,0.01961359217691187,0.9090909090909092,0.8378947368421052,632.329944584633,7.648549462951859,0.5845918655395508
