date,regime,vol_target,PMI,CPI,M2,CN10Y,US10Y,PMI_zscore,CPI_zscore,M2_zscore,CN10Y_zscore,US10Y_zscore
2023-04-10,overheat,0.12,51.9,0.7,12.9,2.8455,3.41,1.6646895768738235,-2.727007860888768,1.3992106089302272,0.5714098317793942,-0.011013422257264214
2023-04-11,overheat,0.12,51.9,0.7,12.9,2.8203,3.43,1.6493389028106304,-2.688385758069442,1.396326905288896,0.2875019025992507,0.03153409556053703
2023-04-12,overheat,0.12,51.9,0.7,12.7,2.8158,3.41,1.6342665696055185,-2.651138059660957,1.1453301042288453,0.23661020538417765,-0.0218061487425688
2023-04-13,overheat,0.12,51.9,0.7,12.7,2.8277,3.45,1.6194632876152664,-2.6151824878793293,1.1432689674964547,0.3711292533236959,0.0676401833005682
2023-04-14,overheat,0.12,51.9,0.7,12.7,2.8281,3.52,1.6049201931839696,-2.5804435182468928,1.141580833261831,0.3763363027525579,0.22996182773498947
2023-04-17,overheat,0.12,51.9,0.7,12.7,2.8432,3.6,1.5906288237233344,-2.5468516823517304,1.140292707463806,0.5474981284804827,0.41709287490708497
2023-04-18,overheat,0.12,51.9,0.7,12.7,2.8319,3.58,1.576581094553151,-2.514342956666502,1.139435095273248,0.4199901361901982,0.3632234671537144
2023-04-19,overheat,0.12,51.9,0.7,12.7,2.8333,3.6,1.5628685418905524,-2.4828582251447626,1.1390425569461768,0.4361208289034751,0.40667735126669974
2023-04-20,overheat,0.12,51.9,0.7,12.7,2.8332,3.54,1.5494021427000282,-2.452342805292282,1.1391543756859632,0.43528088033645285,0.2559102144146823
2023-04-21,overheat,0.12,51.9,0.7,12.7,2.8258,3.57,1.5361747591526982,-2.422746029036284,1.1398153649663045,0.35217585476546565,0.3237522887075821
2023-04-24,overheat,0.12,51.9,0.7,12.7,2.8176,3.52,1.523179590894621,-2.394020871056271,1.1410768508075466,0.25984702111194014,0.19732553908773495
2023-04-25,overheat,0.12,51.9,0.7,12.7,2.8157,3.4,1.5104101579354035,-2.3661236183507444,1.1429978753108938,0.23889023140684185,-0.09931672159163848
2023-04-26,overheat,0.12,51.9,0.7,12.7,2.8058,3.43,1.4978602847777538,-2.339013575737995,1.1456466824485725,0.1272035801938791,-0.029528127295944163
2023-04-27,overheat,0.12,51.9,0.7,12.7,2.7852,3.53,1.485524085698446,-2.304560845708981,1.149102567305541,-0.10506977816825874,0.21129245601930044
