date,width_z,stress,fired,alert_level
2022-08-12,-1.0795651756428737,0.0,0,green
2022-08-15,-0.16308165726961005,0.4722936613259784,0,green
2022-08-16,-1.1205511365152574,6.062597331543346e-05,0,green
2022-08-17,-1.1552206389602528,0.0002422165288447634,0,green
2022-08-18,-1.1315279129698972,0.0007487979731276555,0,green
2022-08-19,-0.4646862604936709,0.33075490081878134,0,green
2022-08-22,1.0104973005666285,0.9302902257317384,1,yellow
2022-08-23,-0.9080188071379052,0.11344643421212727,0,green
2022-08-24,1.3049635792895917,0.9999190500929082,1,red
2022-08-25,1.1255469276773362,0.9263999751970864,1,yellow
2022-08-26,-1.063816266950246,0.0004518511256566835,0,green
2022-08-29,0.9763770226522185,0.8849586793961465,1,green
2022-08-30,-1.1071365602671104,0.0025118812363957572,0,green
2022-08-31,0.09302636303864947,0.5962152521226916,0,green
2022-09-01,-1.0876350069640552,0.01680215677869665,0,green
2022-09-02,-1.2057325666854528,0.00030973383856615334,0,green
2022-09-05,-0.5801609005623246,0.32658071634664915,0,green
2022-09-06,-1.1303085302884248,0.024760938959069764,0,green
2022-09-07,-1.1629211528200327,0.0003295855338386221,0,green
2022-09-08,-1.2880459520911955,0.00047635626964113016,0,green
2022-09-09,0.8722589643021879,0.9810218260817608,1,red
2022-09-13,0.9155299796345658,0.9836781062591613,1,red
2022-09-14,-0.24312020072341262,0.46903130383289376,0,green
2022-09-15,1.0576013514409832,0.9969948505390773,1,red
2022-09-16,1.3250078098197962,0.9998028426182378,1,red
2022-09-19,-1.0141383989382908,0.0003773660836817462,0,green
2022-09-20,-1.0188996741873784,0.0006778646979403414,0,green
2022-09-21,-1.0125325410902684,0.0014291871745507286,0,green
2022-09-22,-1.0466155479608388,0.0009351266518524798,0,green
2022-09-23,-1.0885665498043144,0.0017185740422627491,0,green
2022-09-26,-0.8390125197766269,0.11559610527468088,0,green
2022-09-27,1.2522970103035922,0.9776689272023085,1,yellow
2022-09-28,1.3143706369295083,0.979916210143038,1,yellow
2022-09-29,-0.8484079421144609,0.012634386109205954,0,green
2022-09-30,-0.8168391874401986,0.022971816637900825,0,green
2022-10-10,1.6549360307127479,0.9999982219385743,1,red
2022-10-11,-0.7246821040470282,0.0001675581860753841,0,green
2022-10-12,0.8724445436590669,0.6902726539185647,1,green
2022-10-13,-0.5899213731799534,0.027904388330207135,0,green
2022-10-14,2.052020124615644,0.9987008930434288,1,red
2022-10-17,-0.4524383292462028,0.0006950533096680848,0,green
2022-10-18,-0.43960837006887316,0.005656516453557807,0,green
2022-10-19,-0.4675981505995732,0.006331197621302148,0,green
2022-10-20,-0.41143449266169174,0.03704308771598196,0,green
2022-10-21,-0.5862721215098213,2.911932718731975e-05,0,green
2022-10-24,2.002268159070494,0.9999983943049867,1,red
2022-10-25,-0.42888336833545815,0.0016372384415141864,0,green
2022-10-26,-0.1476864641735249,0.1324541698858521,0,green
2022-10-27,-0.42827937250652204,0.001188783226534733,0,green
2022-10-28,2.0578391663762248,0.9989699652171266,1,red
2022-10-31,1.6232053102318864,0.8438344384789299,1,green
2022-11-01,2.2597459943673788,0.9999134887852622,1,red
2022-11-02,-0.20727849591075329,0.00028565112208003726,0,green
2022-11-03,-0.2138991381317899,0.0003904810537920377,0,green
2022-11-04,2.3129451404407018,0.9997046144788727,1,red
2022-11-07,-0.20628915455652563,0.0010216203197643738,0,green
2022-11-08,-0.23373649900316562,0.0001094278080247067,0,green
2022-11-09,-0.2507137855431235,0.0029403874059405113,0,green
2022-11-10,-0.268304988377171,0.0006768102612289737,0,green
2022-11-11,2.224562766741024,0.9991378226763143,1,red
2022-11-14,-0.06934592306724235,0.0,0,green
2022-11-15,1.053822429353394,0.47229935773737686,0,green
2022-11-16,-0.04272865365702134,0.000166197088990684,0,green
2022-11-17,-0.08017936594058116,0.0033787808954604346,0,green
2022-11-18,-0.11398555446978088,0.00011414585689768082,0,green
2022-11-21,-0.23689633845545569,0.00023876147954991786,0,green
2022-11-22,-0.23249573864582773,0.0017698048230882374,0,green
2022-11-23,-0.3071204421600285,0.0006036884737300152,0,green
2022-11-24,-0.3120625341187465,0.0014687429851574201,0,green
2022-11-25,-0.1782985996040275,0.12154211224800691,0,green
2022-11-28,-0.4726826889808549,0.0001694253048043136,0,green
2022-11-29,1.883836315614768,0.9999609518663763,1,red
2022-11-30,-0.49541629311706126,0.000743517286814523,0,green
2022-12-01,-0.42850701877395875,0.0330499515390613,0,green
2022-12-02,-0.636297077990003,0.00038282480786494305,0,green
2022-12-05,1.450841290435441,0.9398054322000261,1,yellow
