date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2024-12-31,0.09,0.866,stress,0.0143,0.184,0.0774,"512480:0.0774, 512980:0.0770, 159915:0.0741",-0.0273,-0.02,TP
2025-01-02,0.77,1.0,stress,0.0214,0.5,0.0891,"512480:0.0891, 512760:0.0860, 159915:0.0846",-0.0087,0.0023,neutral
2025-01-14,1.19,1.0,stress,0.0182,0.658,0.0935,"512480:0.0935, 515880:0.0909, 512760:0.0906",0.0133,0.0107,FP
2025-01-22,0.44,0.694,stress,0.0148,0.211,0.0782,"515880:0.0782, 515050:0.0749, 512480:0.0745",0.0156,0.036,FP
2025-02-05,1.31,0.863,stress,0.0203,0.184,0.0918,"515880:0.0918, 515050:0.0853, 512480:0.0830",0.036,0.0438,FP
2025-02-21,1.15,0.998,stress,0.0185,0.211,0.0885,"515880:0.0885, 512480:0.0854, 512760:0.0834",-0.0311,-0.0138,TP
2025-02-28,1.97,1.0,stress,0.016,0.658,0.0993,"513050:0.0993, 515880:0.0934, 515050:0.0902",0.0173,0.0272,FP
2025-03-14,1.87,0.997,stress,0.0124,0.474,0.1041,"513050:0.1041, 512980:0.0825, 512480:0.0819",-0.0159,-0.0195,TP
2025-04-03,0.45,0.692,stress,0.0137,0.211,0.0661,"513050:0.0661, 515050:0.0536, 515880:0.0511",-0.029,-0.0257,TP
2025-04-07,4.61,1.0,both,0.0312,0.974,0.1045,"159915:0.1045, 513050:0.1045, 515050:0.0922",0.0579,0.0607,FP
2025-04-08,3.85,0.934,both,0.0257,0.237,0.1015,"513050:0.1015, 159915:0.1015, 515050:0.0949",0.0443,0.052,FP
2025-04-10,3.47,0.872,both,0.0248,0.237,0.1049,"513100:0.1049, 513500:0.1036, 159941:0.1020",0.0063,0.015,FP
2025-05-14,0.1,0.731,stress,0.0113,0.237,0.0633,"515880:0.0633, 515050:0.0611, 513050:0.0609",-0.0047,-0.0212,TP
2025-05-21,-0.15,0.619,stress,0.0116,0.132,0.0576,"515880:0.0576, 518880:0.0569, 518800:0.0565",-0.0165,0.0019,neutral
2025-06-13,0.14,0.999,stress,0.0112,0.184,0.0601,"515880:0.0601, 515050:0.0591, 513050:0.0551",-0.0068,0.0201,FP
2025-06-24,0.21,1.0,stress,0.0139,0.421,0.0599,"515880:0.0599, 515050:0.0588, 161226:0.0565",0.0186,0.0243,FP
2025-06-25,0.28,1.0,stress,0.0137,0.263,0.0591,"512000:0.0591, 512880:0.0590, 515880:0.0583",0.0037,0.0101,FP
2025-07-15,0.71,0.999,stress,0.0163,0.184,0.0742,"515880:0.0742, 515050:0.0693, 512000:0.0558",0.0259,0.0442,FP
2025-07-17,0.61,0.954,stress,0.0107,0.184,0.0746,"515880:0.0746, 515050:0.0718, 512000:0.0520",0.0316,0.0225,FP
2025-07-22,0.74,0.964,stress,0.0156,0.132,0.0723,"515880:0.0723, 515050:0.0704, 515220:0.0649",0.0182,0.0097,neutral
2025-07-23,0.37,0.791,stress,0.0125,0.132,0.066,"515880:0.0660, 515050:0.0644, 515220:0.0601",0.0111,0.0097,neutral
2025-07-24,1.01,1.0,stress,0.0137,0.368,0.0727,"515880:0.0727, 515050:0.0709, 515220:0.0665",-0.0091,0.0015,neutral
2025-07-28,0.55,0.742,stress,0.0134,0.132,0.0628,"515880:0.0628, 515050:0.0616, 515220:0.0615",-0.0111,0.0065,neutral
2025-07-31,1.88,1.0,stress,0.0131,0.421,0.0716,"515220:0.0716, 515880:0.0713, 515050:0.0672",0.0106,0.0292,FP
2025-08-11,1.8,0.992,stress,0.0099,0.158,0.0698,"515220:0.0698, 515880:0.0576, 515050:0.0569",0.0316,0.0695,FP
2025-08-13,1.91,0.999,stress,0.0157,0.289,0.0686,"515220:0.0686, 515880:0.0641, 515050:0.0613",0.0158,0.0355,FP
2025-08-15,1.98,0.981,stress,0.0134,0.263,0.0682,"515220:0.0682, 515880:0.0641, 515050:0.0585",0.0255,0.0504,FP
2025-08-18,1.49,0.835,stress,0.0119,0.237,0.0624,"515880:0.0624, 515220:0.0622, 515050:0.0576",0.0378,0.0525,FP
2025-08-22,2.08,1.0,both,0.0241,0.342,0.0744,"512760:0.0744, 515880:0.0717, 512480:0.0714",0.0249,0.0225,FP
2025-08-25,2.25,0.999,both,0.0143,0.526,0.0798,"515880:0.0798, 512760:0.0739, 512480:0.0709",0.0146,0.0062,neutral
2025-08-27,2.06,0.932,both,0.0138,0.368,0.0781,"515880:0.0781, 512760:0.0704, 512480:0.0677",0.0128,0.0216,FP
2025-08-28,1.97,0.92,stress,0.0254,0.263,0.0918,"515880:0.0918, 512760:0.0789, 512480:0.0766",-0.0186,0.0258,FP
2025-09-01,1.2,0.614,stress,0.0185,0.263,0.0801,"515880:0.0801, 512760:0.0684, 512480:0.0668",-0.0084,0.0116,FP
2025-09-04,2.83,1.0,both,0.0268,0.526,0.1225,"515880:0.1225, 515050:0.1037, 512480:0.0982",0.0445,0.0469,FP
2025-09-05,2.75,0.939,both,0.022,0.368,0.1229,"515880:0.1229, 515050:0.1054, 512480:0.0957",0.0227,0.0254,FP
2025-09-11,2.49,0.881,both,0.0266,0.289,0.1319,"515880:0.1319, 515050:0.1154, 512480:0.0980",0.0024,0.0208,FP
2025-10-09,1.88,0.785,stress,0.0212,0.263,0.1031,"515880:0.1031, 515050:0.0943, 512400:0.0828",-0.0175,-0.0172,TP
2025-10-10,2.26,0.946,both,0.0192,0.342,0.102,"515880:0.1020, 515050:0.0951, 512400:0.0896",-0.0184,0.0088,neutral
2025-10-13,1.9,0.877,stress,0.0193,0.316,0.094,"515880:0.0940, 515050:0.0882, 512400:0.0869",-0.0062,0.0265,FP
2025-10-14,2.29,0.991,both,0.0224,0.395,0.1034,"515880:0.1034, 515050:0.0983, 512400:0.0963",0.0223,0.034,FP
2025-10-17,2.17,0.963,both,0.0171,0.395,0.0955,"512400:0.0955, 512480:0.0878, 515030:0.0855",0.0273,0.0312,FP
2025-10-20,1.96,0.858,stress,0.0234,0.289,0.09,"512400:0.0900, 512480:0.0824, 515880:0.0820",0.0327,0.0245,FP
2025-11-13,1.32,0.654,stress,0.0135,0.079,0.0974,"515880:0.0974, 515050:0.0944, 512760:0.0739",-0.0329,-0.0353,TP
2025-11-14,2.24,0.99,both,0.0108,0.211,0.1153,"515880:0.1153, 515050:0.1112, 512760:0.0872",-0.0418,-0.014,TP
2025-11-18,2.07,0.999,both,0.0158,0.289,0.1049,"515880:0.1049, 515050:0.1017, 512480:0.0840",-0.0097,0.004,neutral
2025-11-21,2.18,1.0,both,0.0158,0.526,0.1029,"515880:0.1029, 515050:0.1002, 515030:0.0919",0.0277,0.0352,FP
2025-12-17,1.8,1.0,stress,0.0192,0.316,0.1152,"161226:0.1152, 515880:0.1108, 515050:0.1020",0.027,0.0161,FP
2025-12-22,1.22,0.942,stress,0.0194,0.184,0.1222,"161226:0.1222, 515880:0.1037, 515050:0.0950",0.0045,0.0363,FP
2026-01-05,1.74,1.0,stress,0.0147,0.632,0.2038,"161226:0.2038, 515880:0.0969, 515050:0.0884",0.0356,0.0292,FP
2026-01-06,1.74,0.953,stress,0.0176,0.263,0.2069,"161226:0.2069, 515880:0.0941, 515050:0.0856",0.0143,0.0107,FP
2026-01-12,1.47,0.797,stress,0.022,0.158,0.1895,"161226:0.1895, 512980:0.0897, 515880:0.0776",-0.0064,0.0058,neutral
2026-01-21,2.05,0.954,both,0.0198,0.237,0.2139,"161226:0.2139, 512980:0.1079, 512660:0.1026",0.0197,0.0017,neutral
