date,coverage,coverage_gap,downside_violation,upside_violation,alert_level,trigger_confidence,fired
2022-05-27,0.9934210526315793,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-30,0.9934210526315793,0.0,0.003947368421052633,0.002631578947368421,green,no_fire,0
2022-05-31,0.9934210526315793,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-06-01,0.9934210526315793,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-06-02,0.9934210526315793,0.0,0.003947368421052633,0.002631578947368421,green,skip_trend,0
2022-06-06,0.9947368421052635,0.0,0.002631578947368421,0.002631578947368421,green,skip_trend,0
2022-06-07,0.9947368421052635,0.0,0.002631578947368421,0.002631578947368421,green,skip_trend,0
2022-06-08,0.9947368421052635,0.0,0.002631578947368421,0.002631578947368421,green,skip_trend,0
2022-06-09,0.9947368421052635,0.0,0.002631578947368421,0.002631578947368421,green,skip_trend,0
2022-06-10,0.9947368421052635,0.0,0.002631578947368421,0.002631578947368421,green,skip_trend,0
2022-06-13,0.9973684210526317,0.0,0.002631578947368421,0.0,green,no_fire,0
2022-06-14,0.9947368421052633,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2022-06-15,0.9947368421052633,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2022-06-16,0.9947368421052633,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2022-06-17,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-20,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-21,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-22,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-23,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-24,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-06-27,0.9947368421052633,0.0,0.0013157894736842105,0.003947368421052633,green,skip_trend,0
2022-06-28,0.9947368421052633,0.0,0.0013157894736842105,0.003947368421052633,green,skip_trend,0
2022-06-29,0.9947368421052633,0.0,0.0013157894736842105,0.003947368421052633,green,skip_trend,0
2022-06-30,0.993421052631579,0.0,0.0013157894736842105,0.005263157894736842,green,skip_trend,0
2022-07-01,0.9921052631578948,0.0,0.002631578947368421,0.005263157894736842,green,no_fire,0
2022-07-04,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-05,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-06,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-07,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-08,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-11,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789473,green,no_fire,0
2022-07-12,0.9907894736842107,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-07-13,0.9894736842105264,0.0,0.003947368421052633,0.006578947368421052,green,no_fire,0
2022-07-14,0.9894736842105264,0.0,0.003947368421052633,0.006578947368421052,green,no_fire,0
2022-07-15,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-18,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-19,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-20,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-21,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-22,0.9868421052631579,0.0,0.006578947368421052,0.006578947368421052,green,no_fire,0
2022-07-25,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-07-26,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-07-27,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-07-28,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-07-29,0.9907894736842107,0.0,0.003947368421052633,0.005263157894736842,green,no_fire,0
2022-08-01,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-02,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-03,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-04,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-05,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-08,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2022-08-09,0.994736842105263,0.0,0.003947368421052633,0.0013157894736842105,green,skip_trend,0
2022-08-10,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2022-08-11,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,skip_trend,0
2022-08-12,0.9986842105263158,0.0,0.0,0.0013157894736842105,green,no_fire,0
2022-08-15,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-16,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-17,0.9973684210526317,0.0,0.0,0.002631578947368421,green,skip_trend,0
2022-08-18,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-19,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-22,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-23,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2022-08-24,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2022-08-25,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-26,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-29,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-30,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-08-31,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-01,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-02,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-05,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-06,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-07,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-08,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-09,0.9973684210526317,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-09-13,0.9986842105263158,0.0,0.0,0.0013157894736842105,green,no_fire,0
2022-09-14,0.9986842105263158,0.0,0.0,0.0013157894736842105,green,no_fire,0
2022-09-15,0.9986842105263158,0.0,0.0,0.0013157894736842105,green,no_fire,0
2022-09-16,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2022-09-19,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2022-09-20,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2022-09-21,0.9973684210526316,0.0,0.002631578947368421,0.0,green,no_fire,0
2022-09-22,0.9973684210526316,0.0,0.002631578947368421,0.0,green,no_fire,0
2022-09-23,0.9973684210526316,0.0,0.002631578947368421,0.0,green,no_fire,0
2022-09-26,0.9947368421052633,0.0,0.005263157894736842,0.0,green,no_fire,0
2022-09-27,0.9947368421052633,0.0,0.005263157894736842,0.0,green,no_fire,0
2022-09-28,0.9947368421052633,0.0,0.005263157894736842,0.0,green,no_fire,0
2022-09-29,0.9947368421052633,0.0,0.005263157894736842,0.0,green,no_fire,0
2022-09-30,0.9947368421052633,0.0,0.005263157894736842,0.0,green,no_fire,0
2022-10-10,0.993421052631579,0.0,0.006578947368421052,0.0,green,no_fire,0
2022-10-11,0.993421052631579,0.0,0.006578947368421052,0.0,green,no_fire,0
2022-10-12,0.993421052631579,0.0,0.006578947368421052,0.0,green,no_fire,0
2022-10-13,0.9921052631578948,0.0,0.007894736842105263,0.0,green,no_fire,0
2022-10-14,0.9881578947368422,0.0,0.007894736842105263,0.003947368421052633,green,no_fire,0
2022-10-17,0.9881578947368422,0.0,0.007894736842105263,0.003947368421052633,green,skip_trend,0
2022-10-18,0.9881578947368422,0.0,0.007894736842105263,0.003947368421052633,green,skip_trend,0
2022-10-19,0.9855263157894738,0.0,0.010526315789473684,0.003947368421052633,green,no_fire,0
2022-10-20,0.9855263157894738,0.0,0.010526315789473684,0.003947368421052633,green,no_fire,0
2022-10-21,0.9881578947368422,0.0,0.007894736842105263,0.003947368421052633,green,no_fire,0
2022-10-24,0.9855263157894738,0.0,0.010526315789473684,0.003947368421052633,green,no_fire,0
2022-10-25,0.9855263157894738,0.0,0.010526315789473684,0.003947368421052633,green,no_fire,0
2022-10-26,0.9828947368421053,0.0,0.010526315789473684,0.006578947368421052,green,no_fire,0
2022-10-27,0.9815789473684212,0.0,0.011842105263157895,0.006578947368421052,green,no_fire,0
2022-10-28,0.9815789473684212,0.0,0.011842105263157895,0.006578947368421052,green,no_fire,0
2022-10-31,0.9842105263157894,0.0,0.009210526315789475,0.006578947368421052,green,no_fire,0
2022-11-01,0.9842105263157894,0.0,0.009210526315789475,0.006578947368421052,green,no_fire,0
2022-11-02,0.9842105263157894,0.0,0.009210526315789475,0.006578947368421052,green,no_fire,0
2022-11-03,0.9842105263157894,0.0,0.009210526315789475,0.006578947368421052,green,no_fire,0
2022-11-04,0.9842105263157894,0.0,0.009210526315789475,0.006578947368421052,green,skip_trend,0
2022-11-07,0.9855263157894738,0.0,0.007894736842105265,0.006578947368421052,green,skip_trend,0
2022-11-08,0.9855263157894738,0.0,0.007894736842105265,0.006578947368421052,green,skip_trend,0
2022-11-09,0.9828947368421053,0.0,0.007894736842105265,0.009210526315789475,green,no_fire,0
2022-11-10,0.9842105263157894,0.0,0.006578947368421052,0.009210526315789475,green,no_fire,0
2022-11-11,0.988157894736842,0.0,0.006578947368421052,0.005263157894736842,green,no_fire,0
2022-11-14,0.9868421052631579,0.0,0.007894736842105263,0.005263157894736842,green,no_fire,0
2022-11-15,0.9828947368421053,0.0,0.007894736842105263,0.009210526315789475,green,skip_trend,0
2022-11-16,0.9855263157894738,0.0,0.005263157894736842,0.009210526315789475,green,skip_trend,0
2022-11-17,0.9855263157894738,0.0,0.005263157894736842,0.009210526315789475,green,skip_trend,0
2022-11-18,0.9855263157894738,0.0,0.005263157894736842,0.009210526315789475,green,no_fire,0
2022-11-21,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789475,green,no_fire,0
2022-11-22,0.9881578947368422,0.0,0.002631578947368421,0.009210526315789475,green,no_fire,0
2022-11-23,0.9907894736842107,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-11-24,0.9921052631578948,0.0,0.0013157894736842105,0.006578947368421052,green,no_fire,0
2022-11-25,0.9921052631578948,0.0,0.0013157894736842105,0.006578947368421052,green,no_fire,0
2022-11-28,0.9921052631578948,0.0,0.0013157894736842105,0.006578947368421052,green,no_fire,0
2022-11-29,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,no_fire,0
2022-11-30,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,no_fire,0
2022-12-01,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,skip_trend,0
2022-12-02,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,no_fire,0
2022-12-05,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,skip_trend,0
2022-12-06,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105265,green,no_fire,0
2022-12-07,0.993421052631579,0.0,0.0013157894736842105,0.005263157894736842,green,no_fire,0
2022-12-08,0.9921052631578948,0.0,0.0013157894736842105,0.006578947368421052,green,no_fire,0
2022-12-09,0.9921052631578948,0.0,0.0013157894736842105,0.006578947368421052,green,no_fire,0
2022-12-12,0.993421052631579,0.0,0.0,0.006578947368421052,green,no_fire,0
2022-12-13,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-12-14,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-12-15,0.9973684210526316,0.0,0.0,0.002631578947368421,green,no_fire,0
2022-12-16,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-19,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-20,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-21,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-22,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-23,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-26,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2022-12-27,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,no_fire,0
2022-12-28,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,no_fire,0
2022-12-29,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,no_fire,0
2022-12-30,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,no_fire,0
2023-01-03,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2023-01-04,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2023-01-05,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,skip_trend,0
2023-01-06,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,skip_trend,0
2023-01-09,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,skip_trend,0
2023-01-10,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,skip_trend,0
2023-01-11,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2023-01-12,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2023-01-13,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2023-01-16,0.9973684210526316,0.0,0.0,0.002631578947368421,green,skip_trend,0
2023-01-17,0.9973684210526316,0.0,0.0,0.002631578947368421,green,skip_trend,0
2023-01-18,0.9973684210526316,0.0,0.0,0.002631578947368421,green,skip_trend,0
2023-01-19,0.9973684210526316,0.0,0.0,0.002631578947368421,green,skip_trend,0
2023-01-20,0.9960526315789474,0.0,0.0,0.003947368421052633,green,skip_trend,0
2023-01-30,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2023-01-31,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2023-02-01,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2023-02-02,0.9960526315789474,0.0,0.0,0.003947368421052633,green,no_fire,0
2023-02-03,0.994736842105263,0.0,0.0013157894736842105,0.003947368421052633,green,no_fire,0
2023-02-06,0.993421052631579,0.0,0.002631578947368421,0.003947368421052633,green,no_fire,0
2023-02-07,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-08,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-09,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-10,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-13,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-14,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-15,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-02-16,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-02-17,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-02-20,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-21,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-22,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-23,0.994736842105263,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2023-02-24,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-02-27,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-02-28,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
2023-03-01,0.9960526315789474,0.0,0.002631578947368421,0.0013157894736842105,green,no_fire,0
